_id,year_month,year,month,month_name,harmonize_grp,hmn_grp_name,duty
1,2021-12-01T00:00:00,2021,12,December,87,ยานยนต์และส่วนประกอบ,1554037489
2,2021-12-01T00:00:00,2021,12,December,85,เครื่องจักรไฟฟ้า เครื่องอุปกรณ์ไฟฟ้า และส่วนประกอบ,906403714
3,2021-12-01T00:00:00,2021,12,December,84,เครื่องจักร เครื่องใช้กล และส่วนประกอบ,632012520
4,2021-12-01T00:00:00,2021,12,December,39,พลาสติกและของที่ทำด้วยพลาสติก,350141776
5,2021-12-01T00:00:00,2021,12,December,30,ผลิตภัณฑ์ทางเภสัชสัชกรรม,338550687
6,2021-12-01T00:00:00,2021,12,December,73,ของทำด้วยเหล็กหรือเหล็กกล้า,317392075
7,2021-12-01T00:00:00,2021,12,December,42,เครื่องหนัง,261221147
8,2021-12-01T00:00:00,2021,12,December,33,เครื่องหอม เครื่องสำอางหรือสิ่งปรุงแต่งสำหรับประทินร่างกาย,251253101
9,2021-12-01T00:00:00,2021,12,December,23,อาหารสัตว์(กากและเศษที่เหลือจากอุตสาหกรรมผลิตอาหาร),204533075
10,2021-12-01T00:00:00,2021,12,December,62,เครื่องแต่งกายและส่วนประกอบ ไม่ได้ถักแบบนิตหรือแบบโครเชต์,162618250
11,2021-12-01T00:00:00,2021,12,December,90,"เครื่องมือและอุปกรณ์ที่ใช้ในทางทัศนศาสตร์,การแพทย์,การถ่ายรูป,การวัด,การตรวจสอบ",152737960
12,2021-12-01T00:00:00,2021,12,December,7,พืชผักรวมทั้งรากและหัวบางชนิดที่บริโภคได้,139639728
13,2021-12-01T00:00:00,2021,12,December,38,เคมีภัณฑ์เบ็ดเตล็ด,138819774
14,2021-12-01T00:00:00,2021,12,December,72,เหล็กและเหล็กกล้า,123847786
15,2021-12-01T00:00:00,2021,12,December,61,เครื่องแต่งกายและส่วนประกอบ ถักแบบนิตหรือแบบโครเชต์,121840091
16,2021-11-01T00:00:00,2021,11,November,87,ยานยนต์และส่วนประกอบ,1289311300
17,2021-11-01T00:00:00,2021,11,November,85,เครื่องจักรไฟฟ้า เครื่องอุปกรณ์ไฟฟ้า และส่วนประกอบ,952146373
18,2021-11-01T00:00:00,2021,11,November,84,เครื่องจักร เครื่องใช้กล และส่วนประกอบ,629808252
19,2021-11-01T00:00:00,2021,11,November,39,พลาสติกและของที่ทำด้วยพลาสติก,375765717
20,2021-11-01T00:00:00,2021,11,November,30,ผลิตภัณฑ์ทางเภสัชสัชกรรม,453170588
21,2021-11-01T00:00:00,2021,11,November,73,ของทำด้วยเหล็กหรือเหล็กกล้า,327785400
22,2021-11-01T00:00:00,2021,11,November,42,เครื่องหนัง,299364285
23,2021-11-01T00:00:00,2021,11,November,33,เครื่องหอม เครื่องสำอางหรือสิ่งปรุงแต่งสำหรับประทินร่างกาย,248610536
24,2021-11-01T00:00:00,2021,11,November,23,อาหารสัตว์(กากและเศษที่เหลือจากอุตสาหกรรมผลิตอาหาร),171407306
25,2021-11-01T00:00:00,2021,11,November,62,เครื่องแต่งกายและส่วนประกอบ ไม่ได้ถักแบบนิตหรือแบบโครเชต์,178531343
26,2021-11-01T00:00:00,2021,11,November,90,"เครื่องมือและอุปกรณ์ที่ใช้ในทางทัศนศาสตร์,การแพทย์,การถ่ายรูป,การวัด,การตรวจสอบ",139586936
27,2021-11-01T00:00:00,2021,11,November,7,พืชผักรวมทั้งรากและหัวบางชนิดที่บริโภคได้,123882180
28,2021-11-01T00:00:00,2021,11,November,38,เคมีภัณฑ์เบ็ดเตล็ด,115152108
29,2021-11-01T00:00:00,2021,11,November,72,เหล็กและเหล็กกล้า,155095621
30,2021-11-01T00:00:00,2021,11,November,61,เครื่องแต่งกายและส่วนประกอบ ถักแบบนิตหรือแบบโครเชต์,109602617
31,2021-10-01T00:00:00,2021,10,October,87,ยานยนต์และส่วนประกอบ,982894192
32,2021-10-01T00:00:00,2021,10,October,85,เครื่องจักรไฟฟ้า เครื่องอุปกรณ์ไฟฟ้า และส่วนประกอบ,831125005
33,2021-10-01T00:00:00,2021,10,October,84,เครื่องจักร เครื่องใช้กล และส่วนประกอบ,601443367
34,2021-10-01T00:00:00,2021,10,October,39,พลาสติกและของที่ทำด้วยพลาสติก,352044630
35,2021-10-01T00:00:00,2021,10,October,30,ผลิตภัณฑ์ทางเภสัชสัชกรรม,369469880
