_id,year_month,year,month,month_name,harmonize_grp,hmn_grp_name_export,items_baht_amnt_export
1,2021-12-01T00:00:00,2021,12,December,84,เครื่องจักร เครื่องใช้กล และส่วนประกอบ,1.42279E+11
2,2021-12-01T00:00:00,2021,12,December,85,เครื่องจักรไฟฟ้า เครื่องอุปกรณ์ไฟฟ้า และส่วนประกอบ,1.2165E+11
3,2021-12-01T00:00:00,2021,12,December,87,ยานยนต์และส่วนประกอบ,1.02108E+11
4,2021-12-01T00:00:00,2021,12,December,40,ยางและของทำด้วยยาง,55652544306
5,2021-12-01T00:00:00,2021,12,December,39,พลาสติกและของที่ทำด้วยพลาสติก,43436745873
6,2021-12-01T00:00:00,2021,12,December,27,เชื้อเพลิงที่ได้จากแร่ น้ำมันแร่ และผลิตภัณฑ์,27828754232
7,2021-12-01T00:00:00,2021,12,December,71,อัญมณี ไข่มุก เครื่องประดับ และโลหะมีค่า,26896212759
8,2021-12-01T00:00:00,2021,12,December,16,ของปรุงแต่งจากสัตว์น้ำ เช่น ปลา กุ้ง,18450878489
9,2021-12-01T00:00:00,2021,12,December,29,เคมีภัณฑ์อินทรีย์,16866038006
10,2021-12-01T00:00:00,2021,12,December,90,"เครื่องมือและอุปกรณ์ที่ใช้ในทางทัศนศาสตร์,การแพทย์,การถ่ายรูป,การวัด,การตรวจสอบ",14810379109
11,2021-12-01T00:00:00,2021,12,December,73,ของทำด้วยเหล็กหรือเหล็กกล้า,14175935368
12,2021-12-01T00:00:00,2021,12,December,10,ธัญพืช,12963545263
13,2021-12-01T00:00:00,2021,12,December,8,ผลไม้และลูกนัตที่บริโภคได้,11052456702
14,2021-12-01T00:00:00,2021,12,December,74,ทองแดงและชองทำด้วยทองแดง,10954707324
15,2021-12-01T00:00:00,2021,12,December,76,อะลูมิเนียมและของทำด้วยอะลูมิเนียม,9515309135
16,2021-11-01T00:00:00,2021,11,November,84,เครื่องจักร เครื่องใช้กล และส่วนประกอบ,1.26064E+11
17,2021-11-01T00:00:00,2021,11,November,85,เครื่องจักรไฟฟ้า เครื่องอุปกรณ์ไฟฟ้า และส่วนประกอบ,1.16696E+11
18,2021-11-01T00:00:00,2021,11,November,87,ยานยนต์และส่วนประกอบ,91576852376
19,2021-11-01T00:00:00,2021,11,November,40,ยางและของทำด้วยยาง,52818087831
39,2021-10-01T00:00:00,2021,10,October,29,เคมีภัณฑ์อินทรีย์,17456394478
20,2021-11-01T00:00:00,2021,11,November,39,พลาสติกและของที่ทำด้วยพลาสติก,45172405295
21,2021-11-01T00:00:00,2021,11,November,27,เชื้อเพลิงที่ได้จากแร่ น้ำมันแร่ และผลิตภัณฑ์,33767451865
22,2021-11-01T00:00:00,2021,11,November,71,อัญมณี ไข่มุก เครื่องประดับ และโลหะมีค่า,34283767417
23,2021-11-01T00:00:00,2021,11,November,16,ของปรุงแต่งจากสัตว์น้ำ เช่น ปลา กุ้ง,18673180834
24,2021-11-01T00:00:00,2021,11,November,29,เคมีภัณฑ์อินทรีย์,17199858524
25,2021-11-01T00:00:00,2021,11,November,90,"เครื่องมือและอุปกรณ์ที่ใช้ในทางทัศนศาสตร์,การแพทย์,การถ่ายรูป,การวัด,การตรวจสอบ",14544643291
26,2021-11-01T00:00:00,2021,11,November,73,ของทำด้วยเหล็กหรือเหล็กกล้า,15151027948
27,2021-11-01T00:00:00,2021,11,November,10,ธัญพืช,13277946837
28,2021-11-01T00:00:00,2021,11,November,8,ผลไม้และลูกนัตที่บริโภคได้,10528085185
29,2021-11-01T00:00:00,2021,11,November,74,ทองแดงและชองทำด้วยทองแดง,10411144643
30,2021-11-01T00:00:00,2021,11,November,76,อะลูมิเนียมและของทำด้วยอะลูมิเนียม,9112563270
31,2021-10-01T00:00:00,2021,10,October,84,เครื่องจักร เครื่องใช้กล และส่วนประกอบ,1.17837E+11
32,2021-10-01T00:00:00,2021,10,October,85,เครื่องจักรไฟฟ้า เครื่องอุปกรณ์ไฟฟ้า และส่วนประกอบ,1.17199E+11
33,2021-10-01T00:00:00,2021,10,October,87,ยานยนต์และส่วนประกอบ,83316011901
34,2021-10-01T00:00:00,2021,10,October,40,ยางและของทำด้วยยาง,53360355148
35,2021-10-01T00:00:00,2021,10,October,39,พลาสติกและของที่ทำด้วยพลาสติก,43922119471
36,2021-10-01T00:00:00,2021,10,October,27,เชื้อเพลิงที่ได้จากแร่ น้ำมันแร่ และผลิตภัณฑ์,32262356658
37,2021-10-01T00:00:00,2021,10,October,71,อัญมณี ไข่มุก เครื่องประดับ และโลหะมีค่า,32451761957
38,2021-10-01T00:00:00,2021,10,October,16,ของปรุงแต่งจากสัตว์น้ำ เช่น ปลา กุ้ง,16619891715
40,2021-10-01T00:00:00,2021,10,October,90,"เครื่องมือและอุปกรณ์ที่ใช้ในทางทัศนศาสตร์,การแพทย์,การถ่ายรูป,การวัด,การตรวจสอบ",14028717579
41,2021-10-01T00:00:00,2021,10,October,73,ของทำด้วยเหล็กหรือเหล็กกล้า,12647910561
42,2021-10-01T00:00:00,2021,10,October,10,ธัญพืช,12395530795
43,2021-10-01T00:00:00,2021,10,October,8,ผลไม้และลูกนัตที่บริโภคได้,9826958508
44,2021-10-01T00:00:00,2021,10,October,74,ทองแดงและชองทำด้วยทองแดง,10018734411
45,2021-10-01T00:00:00,2021,10,October,76,อะลูมิเนียมและของทำด้วยอะลูมิเนียม,8966038413
46,2021-09-01T00:00:00,2021,9,September,84,เครื่องจักร เครื่องใช้กล และส่วนประกอบ,1.38834E+11
47,2021-09-01T00:00:00,2021,9,September,85,เครื่องจักรไฟฟ้า เครื่องอุปกรณ์ไฟฟ้า และส่วนประกอบ,1.18669E+11
48,2021-09-01T00:00:00,2021,9,September,87,ยานยนต์และส่วนประกอบ,80846145771
49,2021-09-01T00:00:00,2021,9,September,40,ยางและของทำด้วยยาง,52003684963
50,2021-09-01T00:00:00,2021,9,September,39,พลาสติกและของที่ทำด้วยพลาสติก,45935317602
51,2021-09-01T00:00:00,2021,9,September,27,เชื้อเพลิงที่ได้จากแร่ น้ำมันแร่ และผลิตภัณฑ์,29248802242
52,2021-09-01T00:00:00,2021,9,September,71,อัญมณี ไข่มุก เครื่องประดับ และโลหะมีค่า,25453291848
53,2021-09-01T00:00:00,2021,9,September,16,ของปรุงแต่งจากสัตว์น้ำ เช่น ปลา กุ้ง,15225259662
